Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RL,OpenOU,,CloseOU,
401,915,V,DET,TROSS-R,0,0,0,1,0,0,0,0,0,1,176,190,+1.5(-104),9,100,8.5,-115
401,916,H,NYY,DGERMAN-R,0,1,1,0,1,0,0,0,x,3,-210,-210,-1.5(-116),9,-120,8.5,-105
401,917,V,BAL,DHESS-R,4,1,0,0,0,0,1,0,0,6,144,163,+1.5(-135),9,-105,9,105
401,918,H,TOR,SREID-FOLEY-R,0,0,0,0,0,0,2,1,2,5,-165,-176,-1.5(+115),9,-115,9,-125
401,919,V,HOU,BPEACOCK-R,1,0,0,0,0,1,0,0,0,2,-165,-165,-1.5(-123),9.5,-110,9.5,-110
401,920,H,TEX,DSMYLY-L,0,0,1,0,0,0,0,0,0,1,144,155,+1.5(+103),9.5,-110,9.5,-110
401,921,V,BOS,DPRICE-L,0,0,0,0,0,0,0,0,0,0,-140,-140,-1.5(+110),8,-110,9,-105
401,922,H,OAK,ABROOKS-R,0,1,1,0,0,2,0,3,x,7,120,130,+1.5(-130),8,-110,9,-115
401,923,V,LAA,CSTRATTON-R,0,1,0,2,0,0,0,0,0,3,-110,-103,+1.5(-210),8.5,-120,9,-105
401,924,H,SEA,FHERNANDEZ-R,4,0,0,0,0,0,2,0,x,6,-110,-107,-1.5(+176),8.5,100,9,-115
401,925,V,COL,CBETTIS-R,0,0,0,0,0,1,0,0,0,1,118,135,+1.5(-155),9,-110,8.5,-120
401,926,H,TAM,RSTANEK-R,0,0,0,3,0,3,1,0,x,7,-138,-145,-1.5(+135),9,-110,8.5,100
402,951,V,MIL,JCHACIN-R,0,0,1,0,0,3,0,0,0,4,-121,-110,-1.5(+144),8.5,-105,9,100
402,952,H,CIN,ADESCLAFANI-R,0,0,0,1,0,1,0,1,0,3,101,100,+1.5(-165),8.5,-115,9,-120
402,953,V,PHI,ZEFLIN-R,0,1,0,1,0,4,0,2,0,8,173,165,+1.5(-137),7,-110,7,-125
402,954,H,WAS,MSCHERZER-R,0,0,0,0,0,2,0,0,0,2,-206,-180,-1.5(+117),7,-110,7,105
402,955,V,NYM,JVARGAS-L,5,0,0,0,0,0,1,0,0,6,-126,-136,-1.5(+115),8,-110,8,-120
402,956,H,MIA,JURENA-R,1,0,0,0,1,0,2,1,0,5,106,126,+1.5(-135),8,-110,8,100
402,957,V,ARI,ZGREINKE-R,0,0,0,4,0,2,1,1,0,8,-111,106,+1.5(-220),7,-110,7.5,100
402,958,H,SDG,ELAUER-L,2,0,0,0,0,1,2,0,0,5,-109,-116,-1.5(+184),7,-110,7.5,-120
402,959,V,SFO,MBUMGARNER-L,0,0,0,0,0,2,0,0,3,5,152,146,+1.5(-155),7,-110,7,-105
402,960,H,LAD,HRYU-L,0,0,5,0,0,0,1,0,x,6,-176,-156,-1.5(+135),7,-110,7,-115
402,961,V,DET,JZIMMERMANN-R,0,0,0,0,0,1,0,0,2,3,208,205,+1.5(-110),8,-110,7.5,-120
402,962,H,NYY,MTANAKA-R,0,1,0,0,0,0,0,0,0,1,-251,-230,-1.5(-110),8,-110,7.5,100
402,963,V,BAL,ACASHNER-R,0,0,0,0,0,2,0,0,0,2,177,162,+1.5(-125),8.5,-120,8.5,-105
402,964,H,TOR,MSTROMAN-R,0,0,0,0,0,0,0,0,1,1,-211,-174,-1.5(+105),8.5,100,8.5,-115
402,965,V,HOU,JVERLANDER-R,1,1,0,0,1,1,0,0,0,4,-221,-220,-1.5(-155),9,-110,9,100
402,966,H,TEX,SMILLER-R,0,2,0,0,2,0,2,0,x,6,184,200,+1.5(+135),9,-110,9,-120
402,967,V,MIN,JBERRIOS-R,0,0,0,1,2,0,0,0,1,5,-141,-145,-1.5(+110),7.5,100,7,-120
402,968,H,KAN,BKELLER-R,1,0,0,1,0,1,0,1,0,4,121,135,+1.5(-130),7.5,-120,7,100
402,969,V,BOS,CSALE-L,0,0,0,0,0,0,0,0,0,0,-171,-170,-1.5(-110),7,-120,8,-105
402,970,H,OAK,MFIERS-R,1,0,0,0,0,0,0,0,x,1,148,160,+1.5(-110),7,100,8,-115
402,971,V,LAA,TCAHILL-R,0,1,0,0,0,0,0,0,0,1,101,100,+1.5(-200),8.5,-110,8.5,100
402,972,H,SEA,MGONZALES-L,0,0,0,0,0,1,0,1,x,2,-121,-110,-1.5(+170),8.5,-110,8.5,-120
402,973,V,COL,KFREELAND-L,0,0,0,0,0,0,0,0,0,0,131,160,+1.5(-143),7,100,7,-105
402,974,H,TAM,BSNELL-L,3,0,0,0,0,1,0,0,x,4,-151,-170,-1.5(+123),7,-120,7,-115
403,901,V,MIL,FPERALTA-R,0,1,0,0,0,0,0,0,0,1,-109,118,+1.5(-185),8.5,-110,8.5,-105
403,902,H,CIN,LCASTILLO-R,0,0,0,0,0,0,0,0,0,0,-111,-128,-1.5(+160),8.5,-110,8.5,-115
403,903,V,PHI,ANOLA-R,2,0,0,2,0,0,0,4,0,8,-130,-135,-1.5(+115),7.5,-110,8,-110
403,904,H,WAS,ASANCHEZ-R,3,0,3,0,0,0,0,2,1,9,110,125,+1.5(-135),7.5,-110,8,-110
403,905,V,ARI,RRAY-L,0,0,0,0,0,0,0,0,1,1,115,132,+1.5(-185),7.5,-110,7,-110
403,906,H,SDG,JLUCCHESI-L,0,0,0,0,1,1,2,0,x,4,-135,-142,-1.5(+160),7.5,-110,7,-110
403,907,V,NYM,JDEGROM-R,0,1,2,0,0,0,1,2,0,6,-215,-210,-1.5(-118),7,-110,6.5,-110
403,908,H,MIA,TRICHARDS-R,0,0,0,0,0,0,0,0,4,4,180,190,+1.5(-102),7,-110,6.5,-110
403,909,V,STL,MMIKOLAS-R,0,0,0,0,0,0,1,2,0,5,-110,-104,+1.5(-225),7.5,-110,7.5,105
403,910,H,PIT,JTAILLON-R,0,2,1,0,0,0,0,0,0,4,-110,-106,-1.5(+188),7.5,-110,7.5,-125
403,911,V,CUB,JLESTER-L,0,1,0,0,0,2,1,0,0,4,-115,120,+1.5(-175),8.5,-110,9,100
403,912,H,ATL,JTEHERAN-R,0,0,2,0,0,0,0,4,x,6,-105,-130,-1.5(+151),8.5,-110,9,-120
403,913,V,SFO,DHOLLAND-L,0,0,0,3,0,0,0,0,0,3,180,175,+1.5(-120),7.5,-110,7,-105
403,914,H,LAD,RSTRIPLING-R,2,0,0,0,0,0,2,1,x,5,-215,-190,-1.5(+100),7.5,-110,7,-115
403,915,V,CWS,CRODON-L,3,1,0,2,0,0,0,2,0,8,166,170,+1.5(-130),7,-110,6.5,-125
403,916,H,CLE,CKLUBER-R,1,0,0,0,0,0,0,0,2,3,-195,-185,-1.5(+110),7,-110,6.5,105
403,917,V,MIN,KGIBSON-R,0,1,0,2,0,1,0,2,1,7,-145,-130,-1.5(+120),8.5,-110,8.5,-125
403,918,H,KAN,HBAILEY-R,1,0,0,0,5,0,0,0,0,6,125,120,+1.5(-140),8.5,-110,8.5,105
403,919,V,DET,MBOYD-L,0,0,0,1,0,0,0,1,0,2,163,163,+1.5(-125),8.5,-110,9.5,105
403,920,H,NYY,JLOAISIGA-R,0,0,1,0,0,0,0,0,0,1,-190,-176,-1.5(+105),8.5,-110,9.5,-125
403,921,V,BAL,NKARNS-R,0,0,0,0,0,0,0,0,3,3,144,140,+1.5(-155),9,-110,8.5,100
